text,id,created_at,context_annotations
"The final burn of the 2022 VeeCon Burn Sale is upon us! For the next 24 hours, burning 7 PEARL FRAMED BG Tokens gets you a GOO @veecon Ticket NFT! The Burn Sale concludes Friday March 18th at 5:55PM. #SeeYouAtVeeCon 
More info: https://t.co/Op0T9X8J3b",1504580888952283147,2022-03-17T22:10:12.000Z,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}]"
RT @Derek_Hausladen: Single card @veefriends @zerocoolcards  sales about to get crazy… can’t wait to see how parabolic pop and market cap g…,1504575986066726915,2022-03-17T21:50:43.000Z,"[{'domain': {'id': '55', 'name': 'Music Genre', 'description': 'A category for a musical style, like Pop, Rock, or Rap'}, 'entity': {'id': '810938279801470977', 'name': 'Pop', 'description': 'Pop'}}]"
RT @taek2212: 🎁🐐🎁#3️⃣ coming tomorrow! @veefriends is 🔥🚀 https://t.co/Xrre6QxZiA,1504575718130339841,2022-03-17T21:49:39.000Z,
Gift Goat Gift #3 coming tomorrow 👀🪂 https://t.co/rTXYAB973Z,1504575631769669634,2022-03-17T21:49:18.000Z,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}]"
These are absolute HEAT 🔥🔥 show @Dad_And_KidsNFT some love on this one 👏 https://t.co/k1xjcWUkOK,1504562028735832065,2022-03-17T20:55:15.000Z,
"RT @veefriendsbot: ""Diamond Hands"" Hen was purchased for 20.9000 $ETH ($58,808.21 USD) by https://t.co/WJ8o8LbGYS from https://t.co/DTzQoeq…",1504543165134614530,2022-03-17T19:40:18.000Z,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1007361429752594432', 'name': 'Ethereum cryptocurrency', 'description': 'Ethereum Cryptocurrency'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1492162686204854274', 'name': 'Digital assets & cryptocurrency', 'description': 'Cryptocurrency'}}]"
RT @veecon: Join us in welcoming @charlidamelio as a Speaker at VeeCon 2022! #SeeYouAtVeeCon https://t.co/zaCCfQqUmK,1504542024585945091,2022-03-17T19:35:46.000Z,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1242098544195948544', 'name': 'Charli D’Amelio'}}, {'domain': {'id': '120', 'name': 'Digital Creator', 'description': 'Influencers who create content on digital platforms'}, 'entity': {'id': '1242098544195948544', 'name': 'Charli D’Amelio'}}]"
WOWOWOWOWW 🔥🔥🔥 https://t.co/8qHYVS2d0T,1504517381154131968,2022-03-17T17:57:50.000Z,
😂😂 it be like that sometimes https://t.co/prgUUZpxBd,1504517162047791111,2022-03-17T17:56:58.000Z,
RT @UtalishviliNika: Thought?????!!!!!!!! Fucking happy @garyvee @veefriends @zerocoolcards @krainak https://t.co/Hd8TXrTsw6,1504516918035759104,2022-03-17T17:56:00.000Z,
@bobbyhundreds @AdamBombSquad #SeeyouAtVeeCon @veecon !!,1504511479550255112,2022-03-17T17:34:23.000Z,
"@CoolYogi7 Hey C, it looks like that is the session scheduled for 8PM ET tonight. A few minutes before that session begins, the meeting will open up to join. See you there!",1504506235965558786,2022-03-17T17:13:33.000Z,
RT @garyvee: Veefriends Break https://t.co/YE5WYOjTSq,1504498364263641092,2022-03-17T16:42:16.000Z,
RT @iiLAVERY: Just opened my box (1/2). Got a signed card! Couldn’t be happier with the first box break of my life. Signed Dapper Dachshund…,1504496094650277890,2022-03-17T16:33:15.000Z,
"GOO VeeCon Burn Sale Update: When the clock hits 5:55PM ET today, that marks 24 hours remaining in the burn sale. You have until 5:55PM today to burn 5 SILVER FRAMES. After that, the new and FINAL burn requirement will be 7 PEARL FRAMES.  Burn wisely. https://t.co/Oh4wmLXKdN",1504491431284543488,2022-03-17T16:14:43.000Z,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}]"
